Time,Symbol,LTP,Buy_Qty,Sell_Qty,Difference,Buy_%_Change,Sell_%_Change
15:26:27,IDEA,11.11,3087417,2110663,976754,-14.87,2.86
15:26:28,YESBANK,21.04,1069874,885265,184609,0.7,8.93
