Timestamp,Time,Symbol,LTP,Buy_Qty,Sell_Qty,Difference,Buy_%_Change_3min,Sell_%_Change_3min,Signal
2026-02-25 09:39:14,09:39:14,IDEA,10.88,3885478,3371567,513911,17.82,-3.52,BUY SIGNAL
2026-02-25 09:39:17,09:39:17,YESBANK,20.82,604821,455363,149458,-20.57,-5.07,NEUTRAL
2026-02-25 09:39:48,09:39:48,IDEA,10.88,4154882,3580614,574268,20.14,3.41,BUY SIGNAL
2026-02-25 09:39:48,09:39:48,YESBANK,20.82,736647,528107,208540,-0.9,12.76,NEUTRAL
2026-02-25 09:40:18,09:40:18,IDEA,10.88,4366898,3734246,632652,17.15,11.31,BUY SIGNAL
2026-02-25 09:40:19,09:40:19,YESBANK,20.8,680037,372607,307430,-4.64,-15.37,NEUTRAL
2026-02-25 09:46:49,09:46:49,IDEA,10.9,5219496,3972105,1247391,27.42,6.66,BUY SIGNAL
2026-02-25 09:46:50,09:46:50,YESBANK,20.79,831857,493773,338084,20.9,17.43,BUY SIGNAL
2026-02-25 09:47:20,09:47:20,IDEA,10.88,4942383,3666501,1275882,13.18,-2.37,BUY SIGNAL
2026-02-25 09:47:20,09:47:20,YESBANK,20.79,996913,434698,562215,32.86,-1.18,BUY SIGNAL
2026-02-25 09:47:50,09:47:50,IDEA,10.89,4884179,3427554,1456625,7.74,-8.96,NEUTRAL
2026-02-25 09:47:51,09:47:51,YESBANK,20.79,1039878,574987,464891,27.59,20.65,BUY SIGNAL
2026-02-25 09:48:21,09:48:21,IDEA,10.88,3933330,3575829,357501,-12.52,-5.0,NEUTRAL
2026-02-25 09:48:21,09:48:21,YESBANK,20.78,1151831,418857,732974,27.11,-10.98,BUY SIGNAL
2026-02-25 09:48:51,09:48:51,IDEA,10.88,3727599,3718828,8771,-15.09,-1.13,NEUTRAL
2026-02-25 09:48:52,09:48:52,YESBANK,20.78,1255626,417752,837874,26.49,-7.6,BUY SIGNAL
2026-02-25 09:49:22,09:49:22,IDEA,10.88,4020449,3987362,33087,-9.75,7.05,NEUTRAL
2026-02-25 09:49:22,09:49:22,YESBANK,20.79,1246076,374876,871200,14.63,-17.15,BUY SIGNAL
2026-02-25 09:49:52,09:49:52,IDEA,10.88,3630067,4346719,-716652,-13.36,14.78,SELL SIGNAL
2026-02-25 09:49:53,09:49:53,YESBANK,20.78,1268102,434026,834076,9.34,-1.92,NEUTRAL
2026-02-25 09:50:23,09:50:23,IDEA,10.87,4175058,4062362,112696,2.79,5.43,NEUTRAL
2026-02-25 09:50:24,09:50:24,YESBANK,20.78,1266728,422729,843999,5.15,-4.04,NEUTRAL
2026-02-25 09:50:54,09:50:54,IDEA,10.87,3873141,4586013,-712872,-0.52,13.34,SELL SIGNAL
