Timestamp,Symbol,LTP,Buy_Qty,Sell_Qty,Difference,Buy_%_Change,Sell_%_Change
2026-02-20 15:27:13,IDEA,11.11,2844986,2577265,267721,0,0
2026-02-20 15:27:13,YESBANK,21.04,975690,899978,75712,0,0
2026-02-20 15:27:44,IDEA,11.13,2618042,2986921,-368879,-7.98,15.89
2026-02-20 15:27:45,YESBANK,21.04,892441,984051,-91610,-8.53,9.34
2026-02-20 15:28:16,IDEA,11.13,2049544,3805857,-1756313,-21.71,27.42
2026-02-20 15:28:17,YESBANK,21.05,890168,751273,138895,-0.25,-23.66
2026-02-20 15:28:48,IDEA,11.11,2209438,3405351,-1195913,7.8,-10.52
2026-02-20 15:28:48,YESBANK,21.04,744732,716168,28564,-16.34,-4.67
2026-02-20 15:29:18,IDEA,11.1,1881601,3306062,-1424461,-14.84,-2.92
2026-02-20 15:29:18,YESBANK,21.03,678335,546755,131580,-8.92,-23.66
2026-02-20 15:29:48,IDEA,11.1,1435155,2815999,-1380844,-23.73,-14.82
2026-02-20 15:29:49,YESBANK,21.03,610448,448180,162268,-10.01,-18.03
