Time,Symbol,LTP,Buy_Qty,Sell_Qty,Diff,Prev_Buy,Buy_Diff,Buy_%_Change,Signal
15:13:08,YESBANK,18.95,764455,1699616,-935161,772538,-8083,-1.05,⚪ NEUTRAL
19:10:28,IDEA,9.44,72832,0,72832,10881448,-10808616,-99.33,🔴 SELL
19:10:28,YESBANK,18.94,24536,0,24536,764455,-739919,-96.79,🔴 SELL
19:10:32,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:10:32,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:10:35,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:10:35,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:10:38,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:10:39,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:10:42,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:10:42,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:10:45,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:10:46,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:10:49,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:10:49,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:10:52,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:10:53,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:10:56,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:10:56,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:10:59,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:11:00,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:11:03,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:11:03,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:11:06,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:11:06,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:11:10,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:11:10,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:11:13,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:11:13,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:11:16,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:11:17,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:11:20,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:11:20,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:11:23,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:11:24,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:11:27,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:11:27,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:11:30,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:11:30,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:11:34,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:11:34,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:11:37,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:11:38,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:11:41,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:11:41,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:11:44,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:11:45,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:11:48,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:11:48,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:11:51,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:11:52,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:11:55,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:11:55,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:11:58,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:11:59,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:12:02,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:12:02,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:12:05,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:12:05,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:12:09,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:12:09,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:12:12,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:12:12,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:12:16,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:12:16,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:12:19,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:12:19,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:12:23,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:12:23,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:12:26,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:12:26,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
