Timestamp,Time,Symbol,LTP,Buy_Qty,Sell_Qty,Difference,Buy_%_Change_3min,Sell_%_Change_3min,Signal
2026-02-24 11:35:05,11:35:05,IDEA,10.89,7605684,6785202,820482,0.0,0.0,NEUTRAL
2026-02-24 11:35:05,11:35:05,YESBANK,20.96,710975,315007,395968,0.0,0.0,NEUTRAL
2026-02-24 11:35:35,11:35:35,IDEA,10.89,7337838,7405743,-67905,-1.79,4.37,NEUTRAL
2026-02-24 11:35:35,11:35:35,YESBANK,20.95,663338,498091,165247,-3.47,22.52,NEUTRAL
2026-02-24 11:36:06,11:36:06,IDEA,10.88,7886320,7165373,720947,3.63,0.65,NEUTRAL
2026-02-24 11:36:06,11:36:06,YESBANK,20.96,551553,538723,12830,-14.08,19.55,NEUTRAL
2026-02-24 11:36:37,11:36:37,IDEA,10.89,7846442,7146934,699508,2.31,0.3,NEUTRAL
2026-02-24 11:36:37,11:36:37,YESBANK,20.96,751536,446858,304678,12.28,-0.63,BUY SIGNAL
2026-02-24 11:37:07,11:37:07,IDEA,10.89,7417138,7002562,414576,-2.65,-1.39,NEUTRAL
2026-02-24 11:37:08,11:37:08,YESBANK,20.96,747695,485603,262092,9.15,6.29,NEUTRAL
2026-02-24 11:37:38,11:37:38,IDEA,10.89,7562544,6714712,847832,-0.61,-4.58,NEUTRAL
2026-02-24 11:37:38,11:37:38,YESBANK,20.96,643016,484255,158761,-5.16,4.95,NEUTRAL
2026-02-24 11:38:09,11:38:09,IDEA,10.88,8051716,6768555,1283161,4.79,-3.77,NEUTRAL
2026-02-24 11:38:09,11:38:09,YESBANK,20.97,541323,500321,41002,-16.69,1.63,NEUTRAL
2026-02-24 11:38:39,11:38:39,IDEA,10.9,8610525,7168922,1441603,9.05,2.49,NEUTRAL
2026-02-24 11:38:39,11:38:39,YESBANK,20.97,380911,473146,-92235,-36.8,-3.07,NEUTRAL
2026-02-24 11:39:10,11:39:10,IDEA,10.9,8722166,7183850,1538316,8.55,2.66,NEUTRAL
2026-02-24 11:39:10,11:39:10,YESBANK,20.97,402029,479991,-77962,-30.41,0.34,NEUTRAL
2026-02-24 11:39:41,11:39:41,IDEA,10.89,9008538,6851099,2157439,9.48,-1.4,NEUTRAL
2026-02-24 11:39:41,11:39:41,YESBANK,20.94,811597,413140,398457,38.08,-12.61,BUY SIGNAL
2026-02-24 11:40:11,11:40:11,IDEA,10.89,9193445,6595835,2597610,7.84,-4.14,NEUTRAL
2026-02-24 11:40:12,11:40:12,YESBANK,20.95,556284,510285,45999,0.08,7.01,NEUTRAL
2026-02-24 11:40:42,11:40:42,IDEA,10.9,9144282,5972296,3171986,4.05,-11.61,NEUTRAL
2026-02-24 11:40:42,11:40:42,YESBANK,20.96,505113,461863,43250,-5.21,-2.38,NEUTRAL
2026-02-24 11:41:13,11:41:13,IDEA,10.91,7048747,4471716,2577031,-18.24,-29.84,NEUTRAL
2026-02-24 11:41:13,11:41:13,YESBANK,20.95,768420,527303,241117,34.64,10.4,BUY SIGNAL
2026-02-24 11:41:44,11:41:44,IDEA,10.91,7013820,5392361,1621459,-16.05,-11.28,NEUTRAL
2026-02-24 11:41:44,11:41:44,YESBANK,20.96,461376,513992,-52616,-21.02,6.1,NEUTRAL
2026-02-24 11:42:14,11:42:14,IDEA,10.9,8674081,5625685,3048396,3.92,-3.31,NEUTRAL
2026-02-24 11:42:15,11:42:15,YESBANK,20.94,708025,386935,321090,11.48,-17.48,BUY SIGNAL
2026-02-24 11:42:45,11:42:45,IDEA,10.9,8415348,6280960,2134388,2.03,9.75,NEUTRAL
2026-02-24 11:42:45,11:42:45,YESBANK,20.93,760694,601190,159504,21.39,20.18,BUY SIGNAL
2026-02-24 11:43:16,11:43:16,IDEA,10.89,8225397,5890615,2334782,1.71,5.08,NEUTRAL
2026-02-24 11:43:16,11:43:16,YESBANK,20.94,791208,587363,203845,18.83,14.47,BUY SIGNAL
2026-02-24 11:43:47,11:43:47,IDEA,10.9,7929000,7459841,469159,0.57,27.44,NEUTRAL
2026-02-24 11:43:47,11:43:47,YESBANK,20.91,650572,351228,299344,-5.72,-29.0,NEUTRAL
2026-02-24 11:44:18,11:44:18,IDEA,10.9,8396800,7316862,1079938,3.55,15.63,NEUTRAL
2026-02-24 11:44:18,11:44:18,YESBANK,20.93,720847,528832,192015,5.68,6.85,NEUTRAL
2026-02-24 11:44:48,11:44:48,IDEA,10.88,8470667,6588880,1881787,1.42,0.95,NEUTRAL
2026-02-24 11:44:49,11:44:49,YESBANK,20.9,623163,447751,175412,-12.12,-7.47,NEUTRAL
2026-02-24 11:45:19,11:45:19,IDEA,10.89,7643955,7376259,267696,-6.56,8.17,NEUTRAL
2026-02-24 11:45:20,11:45:20,YESBANK,20.89,752998,407026,345972,5.08,-16.46,NEUTRAL
2026-02-24 11:45:51,11:45:51,IDEA,10.89,7558745,7525737,33008,-5.96,7.11,NEUTRAL
