Timestamp,Time,Symbol,LTP,Buy_Qty,Sell_Qty,Difference,Buy_%_Change_3min,Sell_%_Change_3min,Signal
2026-03-17 10:47:24,10:47:24,IDEA,9.28,3466608,4914814,-1448206,0.0,0.0,NEUTRAL
2026-03-17 10:47:25,10:47:25,YESBANK,18.57,440851,827668,-386817,0.0,0.0,NEUTRAL
2026-03-17 10:47:55,10:47:55,IDEA,9.28,4031143,4932269,-901126,7.53,0.18,NEUTRAL
2026-03-17 10:47:55,10:47:55,YESBANK,18.58,526611,662436,-135825,8.86,-11.09,NEUTRAL
2026-03-17 10:48:26,10:48:26,IDEA,9.28,4304040,4516181,-212141,9.41,-5.67,NEUTRAL
2026-03-17 10:48:26,10:48:26,YESBANK,18.58,424737,667909,-243172,-8.47,-7.15,NEUTRAL
2026-03-17 10:48:57,10:48:57,IDEA,9.28,4642438,4118815,523623,12.93,-10.86,BUY SIGNAL
2026-03-17 10:48:57,10:48:57,YESBANK,18.59,421825,793620,-371795,-6.99,7.55,NEUTRAL
2026-03-17 10:49:27,10:49:27,IDEA,9.31,3111846,4389918,-1278072,-20.44,-4.03,NEUTRAL
2026-03-17 10:49:28,10:49:28,YESBANK,18.63,269886,1436296,-1166410,-35.25,63.66,SELL SIGNAL
2026-03-17 10:49:58,10:49:58,IDEA,9.33,3556055,3605135,-49080,-7.68,-18.3,NEUTRAL
2026-03-17 10:49:58,10:49:58,YESBANK,18.63,375680,1359572,-983892,-8.36,41.93,SELL SIGNAL
2026-03-17 10:50:29,10:50:29,IDEA,9.32,3482238,4842678,-1360440,-9.66,10.04,SELL SIGNAL
2026-03-17 10:50:29,10:50:29,YESBANK,18.64,451623,1380964,-929341,9.69,31.5,SELL SIGNAL
2026-03-17 10:50:59,10:50:59,IDEA,9.31,3094784,4601790,-1507006,-16.32,5.89,NEUTRAL
2026-03-17 10:51:00,10:51:00,YESBANK,18.62,395697,1418098,-1022401,1.48,20.58,SELL SIGNAL
2026-03-17 10:51:31,10:51:31,IDEA,9.31,4105112,4679506,-574394,12.0,7.01,NEUTRAL
2026-03-17 10:51:31,10:51:31,YESBANK,18.62,413201,1313147,-899946,6.5,2.3,NEUTRAL
2026-03-17 10:52:02,10:52:02,IDEA,9.31,4506731,5028632,-521901,23.72,11.14,SELL SIGNAL
2026-03-17 10:52:02,10:52:02,YESBANK,18.63,420674,1435319,-1014645,8.48,3.22,NEUTRAL
2026-03-17 10:52:32,10:52:32,IDEA,9.31,4776754,4434419,342335,21.85,-2.15,BUY SIGNAL
2026-03-17 10:52:33,10:52:33,YESBANK,18.64,412140,1461558,-1049418,0.15,4.79,NEUTRAL
2026-03-17 10:53:03,10:53:03,IDEA,9.31,4720594,4536045,184549,14.73,-3.22,BUY SIGNAL
2026-03-17 10:53:03,10:53:03,YESBANK,18.65,477974,785186,-307212,11.53,-39.56,NEUTRAL
2026-03-17 10:53:34,10:53:34,IDEA,9.31,5232144,4833382,398762,18.75,3.15,BUY SIGNAL
2026-03-17 10:53:34,10:53:34,YESBANK,18.64,537769,1193705,-655936,21.42,-5.85,NEUTRAL
2026-03-17 10:54:04,10:54:04,IDEA,9.31,5324904,4763668,561236,11.45,1.08,BUY SIGNAL
2026-03-17 10:54:04,10:54:04,YESBANK,18.65,476693,1004110,-527417,4.44,-16.24,NEUTRAL
2026-03-17 10:54:35,10:54:35,IDEA,9.31,5417423,4706277,711146,8.43,-0.23,NEUTRAL
2026-03-17 10:54:35,10:54:35,YESBANK,18.63,318429,951189,-632760,-27.73,-16.45,NEUTRAL
2026-03-17 10:55:05,10:55:05,IDEA,9.3,5638436,4597481,1040955,8.74,-1.03,NEUTRAL
2026-03-17 10:55:06,10:55:06,YESBANK,18.63,405687,834774,-429087,-7.4,-19.61,NEUTRAL
2026-03-17 10:55:36,10:55:36,IDEA,9.31,5514941,4677237,837704,3.9,-0.18,NEUTRAL
2026-03-17 10:55:37,10:55:37,YESBANK,18.63,412811,867017,-454206,-5.8,-7.7,NEUTRAL
2026-03-17 10:56:07,10:56:07,IDEA,9.3,5654500,4376096,1278404,3.49,-6.07,NEUTRAL
2026-03-17 10:56:07,10:56:07,YESBANK,18.64,346681,1016913,-670232,-16.73,3.98,NEUTRAL
2026-03-17 10:56:38,10:56:38,IDEA,9.32,5079366,5161713,-82347,-6.6,9.5,NEUTRAL
2026-03-17 10:56:38,10:56:38,YESBANK,18.65,444215,1218357,-774142,10.85,24.06,SELL SIGNAL
2026-03-17 10:57:08,10:57:08,IDEA,9.32,5025469,4717387,308082,-6.73,0.24,NEUTRAL
2026-03-17 10:57:09,10:57:09,YESBANK,18.63,455168,951122,-495954,14.6,-2.27,NEUTRAL
2026-03-17 10:57:39,10:57:39,IDEA,9.32,5363804,4761357,602447,-0.29,0.98,NEUTRAL
2026-03-17 10:57:40,10:57:40,YESBANK,18.64,356435,1036935,-680500,-11.66,5.0,NEUTRAL
2026-03-17 10:58:10,10:58:10,IDEA,9.31,5950825,4405006,1545819,9.56,-5.94,NEUTRAL
2026-03-17 10:58:10,10:58:10,YESBANK,18.63,312684,902070,-589386,-19.41,-9.68,NEUTRAL
2026-03-17 10:58:40,10:58:40,IDEA,9.32,5696199,4606053,1090146,4.29,-1.4,NEUTRAL
2026-03-17 10:58:41,10:58:41,YESBANK,18.63,288896,1120126,-831230,-21.36,7.61,NEUTRAL
2026-03-17 10:59:12,10:59:12,IDEA,9.33,4889496,4790795,98701,-8.34,1.06,NEUTRAL
2026-03-17 10:59:12,10:59:12,YESBANK,18.62,421792,1163813,-742021,11.04,9.24,NEUTRAL
2026-03-17 10:59:42,10:59:42,IDEA,9.33,4779375,4873939,-94564,-9.55,3.87,NEUTRAL
2026-03-17 10:59:43,10:59:43,YESBANK,18.63,357946,990441,-632495,-2.06,-3.6,NEUTRAL
2026-03-17 11:00:13,11:00:13,IDEA,9.32,4836420,5357117,-520697,-7.92,11.63,SELL SIGNAL
2026-03-17 11:00:14,11:00:14,YESBANK,18.62,404664,941280,-536616,13.33,-8.24,NEUTRAL
2026-03-17 11:00:44,11:00:44,IDEA,9.32,5949723,5994848,-45125,11.2,19.79,SELL SIGNAL
2026-03-17 11:00:45,11:00:45,YESBANK,18.61,486208,880172,-393964,28.39,-11.95,NEUTRAL
2026-03-17 11:01:16,11:01:16,IDEA,9.32,6558724,5540545,1018179,20.31,6.67,BUY SIGNAL
2026-03-17 11:01:16,11:01:16,YESBANK,18.63,407054,1064300,-657246,3.2,3.66,NEUTRAL
2026-03-17 11:01:46,11:01:46,IDEA,9.32,6521612,5944503,577109,16.68,9.74,BUY SIGNAL
2026-03-17 11:01:46,11:01:46,YESBANK,18.63,413866,1062615,-648749,-0.33,4.47,NEUTRAL
2026-03-17 11:02:17,11:02:17,IDEA,9.32,6241689,6972231,-730542,7.35,20.62,SELL SIGNAL
2026-03-17 11:02:17,11:02:17,YESBANK,18.63,394065,1078267,-684202,-4.03,7.52,NEUTRAL
2026-03-17 11:02:47,11:02:47,IDEA,9.32,5946527,7655332,-1708805,-1.04,22.6,SELL SIGNAL
2026-03-17 11:02:48,11:02:48,YESBANK,18.64,379416,1154109,-774693,-8.4,12.04,SELL SIGNAL
2026-03-17 11:03:19,11:03:19,IDEA,9.31,5986904,7847090,-1860186,-3.45,17.84,SELL SIGNAL
2026-03-17 11:03:19,11:03:19,YESBANK,18.64,400468,1196355,-795887,-3.15,11.53,SELL SIGNAL
2026-03-17 11:03:50,11:03:50,IDEA,9.32,6302982,7762085,-1459103,0.69,11.63,SELL SIGNAL
2026-03-17 11:03:50,11:03:50,YESBANK,18.64,464471,1204316,-739845,13.32,6.89,NEUTRAL
2026-03-17 11:04:22,11:04:22,IDEA,9.31,6551331,7510413,-959082,4.68,3.14,NEUTRAL
2026-03-17 11:04:22,11:04:22,YESBANK,18.64,399224,1241448,-842224,-2.29,7.37,NEUTRAL
2026-03-17 11:04:53,11:04:53,IDEA,9.32,6191635,7795962,-1604327,-0.19,2.71,NEUTRAL
2026-03-17 11:04:53,11:04:53,YESBANK,18.64,410934,1276040,-865106,0.7,7.07,NEUTRAL
2026-03-17 11:05:24,11:05:24,IDEA,9.33,6224983,6832761,-607778,0.39,-9.71,NEUTRAL
2026-03-17 11:05:25,11:05:25,YESBANK,18.63,535488,1031319,-495831,24.05,-12.89,NEUTRAL
2026-03-17 11:05:56,11:05:56,IDEA,9.33,6377054,6790876,-413822,1.67,-8.52,NEUTRAL
2026-03-17 11:05:57,11:05:57,YESBANK,18.64,426418,1203829,-777411,-2.98,0.97,NEUTRAL
2026-03-17 11:06:28,11:06:28,IDEA,9.33,6457585,5471689,985896,1.68,-22.14,NEUTRAL
2026-03-17 11:06:29,11:06:29,YESBANK,18.64,500637,1195167,-694530,9.74,0.26,NEUTRAL
2026-03-17 11:06:59,11:06:59,IDEA,9.33,6369550,5710371,659179,0.12,-14.58,NEUTRAL
2026-03-17 11:07:00,11:07:00,YESBANK,18.63,474438,1223032,-748594,3.62,2.33,NEUTRAL
2026-03-17 11:07:30,11:07:30,IDEA,9.33,6078390,5981773,96617,-3.26,-6.98,NEUTRAL
2026-03-17 11:07:30,11:07:30,YESBANK,18.64,491319,1172323,-681004,3.83,-0.95,NEUTRAL
2026-03-17 11:08:01,11:08:01,IDEA,9.32,7498441,5799474,1698967,15.34,-4.89,BUY SIGNAL
2026-03-17 11:08:01,11:08:01,YESBANK,18.64,450381,1137026,-686645,-6.13,-2.02,NEUTRAL
2026-03-17 11:08:31,11:08:31,IDEA,9.32,7358574,5690363,1668211,9.99,-3.67,NEUTRAL
2026-03-17 11:08:32,11:08:32,YESBANK,18.63,338630,982536,-643906,-24.24,-14.73,NEUTRAL
2026-03-17 11:09:03,11:09:03,IDEA,9.3,7039469,5244968,1794501,3.52,-7.16,NEUTRAL
2026-03-17 11:09:04,11:09:04,YESBANK,18.61,486392,820802,-334410,6.44,-24.59,NEUTRAL
2026-03-17 11:09:34,11:09:34,IDEA,9.32,6979451,6103073,876378,1.34,6.05,NEUTRAL
2026-03-17 11:09:35,11:09:35,YESBANK,18.61,390597,798605,-408008,-10.95,-21.89,NEUTRAL
2026-03-17 11:10:05,11:10:05,IDEA,9.32,6880660,5514487,1366173,-1.32,-3.63,NEUTRAL
2026-03-17 11:10:05,11:10:05,YESBANK,18.59,495988,817534,-321546,12.16,-14.38,NEUTRAL
2026-03-17 11:10:36,11:10:36,IDEA,9.32,6865372,5323954,1541418,-3.35,-5.14,NEUTRAL
2026-03-17 11:10:36,11:10:36,YESBANK,18.6,407979,769373,-361394,-4.75,-13.32,NEUTRAL
2026-03-17 11:11:07,11:11:07,IDEA,9.31,6138438,5318088,820350,-10.74,-3.88,NEUTRAL
2026-03-17 11:11:07,11:11:07,YESBANK,18.62,496796,1189683,-692887,13.93,32.71,SELL SIGNAL
2026-03-17 11:11:38,11:11:38,IDEA,9.31,6316373,5131849,1184524,-5.77,-5.65,NEUTRAL
2026-03-17 11:11:38,11:11:38,YESBANK,18.62,504395,1171434,-667039,8.78,26.25,SELL SIGNAL
