Time,Symbol,LTP,Buy_Qty,Sell_Qty,Diff,Prev_Buy,Buy_Diff,Buy_%_Change,Signal
14:58:00,IDEA,8.91,5657811,3885665,1772146,5657811,0,0.0,⚪ NEUTRAL
14:58:00,YESBANK,18.33,752799,286948,465851,752799,0,0.0,⚪ NEUTRAL
14:58:03,IDEA,8.92,5657811,3885665,1772146,5657811,0,0.0,⚪ NEUTRAL
14:58:04,YESBANK,18.34,604755,398229,206526,752799,-148044,-19.67,🔴 SELL
14:58:07,IDEA,8.92,5891803,3559821,2331982,5657811,233992,4.14,🟢 BUY
14:58:07,YESBANK,18.34,604755,398229,206526,604755,0,0.0,⚪ NEUTRAL
14:58:10,IDEA,8.91,5891803,3559821,2331982,5891803,0,0.0,⚪ NEUTRAL
14:58:11,YESBANK,18.32,717694,458487,259207,604755,112939,18.68,🟢 BUY
14:58:14,IDEA,8.9,5600062,3775812,1824250,5891803,-291741,-4.95,🔴 SELL
14:58:14,YESBANK,18.33,728112,543778,184334,717694,10418,1.45,⚪ NEUTRAL
14:58:17,IDEA,8.9,5600062,3775812,1824250,5600062,0,0.0,⚪ NEUTRAL
14:58:18,YESBANK,18.33,728112,543778,184334,728112,0,0.0,⚪ NEUTRAL
14:58:21,IDEA,8.92,5520746,3478015,2042731,5600062,-79316,-1.42,⚪ NEUTRAL
14:58:21,YESBANK,18.33,701083,550487,150596,728112,-27029,-3.71,🔴 SELL
14:58:24,IDEA,8.91,6921266,2865929,4055337,5520746,1400520,25.37,🟢 BUY
14:58:25,YESBANK,18.33,701083,550487,150596,701083,0,0.0,⚪ NEUTRAL
14:58:28,IDEA,8.91,6921266,2865929,4055337,6921266,0,0.0,⚪ NEUTRAL
14:58:28,YESBANK,18.33,720845,530775,190070,701083,19762,2.82,🟢 BUY
14:58:31,IDEA,8.91,5210475,3708584,1501891,6921266,-1710791,-24.72,🔴 SELL
14:58:31,YESBANK,18.33,744276,537304,206972,720845,23431,3.25,🟢 BUY
14:58:35,IDEA,8.91,5210475,3708584,1501891,5210475,0,0.0,⚪ NEUTRAL
14:58:35,YESBANK,18.33,744276,537304,206972,744276,0,0.0,⚪ NEUTRAL
14:58:38,IDEA,8.92,5256428,3677399,1579029,5210475,45953,0.88,⚪ NEUTRAL
14:58:38,YESBANK,18.33,587675,530233,57442,744276,-156601,-21.04,🔴 SELL
14:58:42,IDEA,8.91,6662742,3074322,3588420,5256428,1406314,26.75,🟢 BUY
14:58:42,YESBANK,18.33,587675,530233,57442,587675,0,0.0,⚪ NEUTRAL
14:58:45,IDEA,8.89,6662742,3074322,3588420,6662742,0,0.0,⚪ NEUTRAL
14:58:45,YESBANK,18.32,674019,494217,179802,587675,86344,14.69,🟢 BUY
14:58:49,IDEA,8.9,8590447,2909986,5680461,6662742,1927705,28.93,🟢 BUY
14:58:49,YESBANK,18.32,674019,494217,179802,674019,0,0.0,⚪ NEUTRAL
14:58:52,IDEA,8.9,8590447,2909986,5680461,8590447,0,0.0,⚪ NEUTRAL
14:58:52,YESBANK,18.31,676091,1002136,-326045,674019,2072,0.31,⚪ NEUTRAL
14:58:56,IDEA,8.9,8623846,2821878,5801968,8590447,33399,0.39,⚪ NEUTRAL
14:58:56,YESBANK,18.32,591383,872566,-281183,676091,-84708,-12.53,🔴 SELL
14:58:59,IDEA,8.89,8627229,3036524,5590705,8623846,3383,0.04,⚪ NEUTRAL
14:58:59,YESBANK,18.32,591383,872566,-281183,591383,0,0.0,⚪ NEUTRAL
14:59:02,IDEA,8.92,8627229,3036524,5590705,8627229,0,0.0,⚪ NEUTRAL
14:59:03,YESBANK,18.33,532678,1004541,-471863,591383,-58705,-9.93,🔴 SELL
14:59:06,IDEA,8.91,5267149,3787912,1479237,8627229,-3360080,-38.95,🔴 SELL
14:59:06,YESBANK,18.32,532678,1004541,-471863,532678,0,0.0,⚪ NEUTRAL
14:59:09,IDEA,8.91,5267149,3787912,1479237,5267149,0,0.0,⚪ NEUTRAL
14:59:10,YESBANK,18.32,624422,805807,-181385,532678,91744,17.22,🟢 BUY
14:59:13,IDEA,8.91,7101861,2762630,4339231,5267149,1834712,34.83,🟢 BUY
14:59:13,YESBANK,18.32,624422,805807,-181385,624422,0,0.0,⚪ NEUTRAL
14:59:16,IDEA,8.9,7101861,2762630,4339231,7101861,0,0.0,⚪ NEUTRAL
14:59:17,YESBANK,18.33,525956,1020200,-494244,624422,-98466,-15.77,🔴 SELL
14:59:20,IDEA,8.9,8854513,2865990,5988523,7101861,1752652,24.68,🟢 BUY
14:59:20,YESBANK,18.33,525956,1020200,-494244,525956,0,0.0,⚪ NEUTRAL
14:59:23,IDEA,8.9,8854513,2865990,5988523,8854513,0,0.0,⚪ NEUTRAL
14:59:23,YESBANK,18.33,471747,600184,-128437,525956,-54209,-10.31,🔴 SELL
14:59:27,IDEA,8.9,8665637,2744632,5921005,8854513,-188876,-2.13,🔴 SELL
