Timestamp,Time,Symbol,LTP,Buy_Qty,Sell_Qty,Difference,Buy_%_Change_3min,Sell_%_Change_3min,Signal
2026-03-12 09:17:43,09:17:43,IDEA,9.52,3427625,2302715,1124910,0.0,0.0,NEUTRAL
2026-03-12 09:17:44,09:17:44,YESBANK,19.21,275118,243848,31270,0.0,0.0,NEUTRAL
2026-03-12 09:18:14,09:18:14,IDEA,9.51,3650599,2713567,937032,3.15,8.19,NEUTRAL
2026-03-12 09:18:14,09:18:14,YESBANK,19.21,248183,240401,7782,-5.15,-0.71,NEUTRAL
2026-03-12 09:18:45,09:18:45,IDEA,9.53,4695041,2561658,2133383,19.64,1.41,BUY SIGNAL
2026-03-12 09:18:45,09:18:45,YESBANK,19.23,227404,279445,-52041,-9.12,9.77,NEUTRAL
2026-03-12 09:19:15,09:19:15,IDEA,9.49,2784153,1866287,917866,-23.5,-20.96,NEUTRAL
2026-03-12 09:19:16,09:19:16,YESBANK,19.22,440652,299587,141065,47.95,12.7,BUY SIGNAL
2026-03-12 09:19:46,09:19:46,IDEA,9.49,2879531,1865843,1013688,-17.43,-17.51,NEUTRAL
2026-03-12 09:19:46,09:19:46,YESBANK,19.21,232517,290430,-57913,-18.35,7.27,NEUTRAL
2026-03-12 09:20:16,09:20:16,IDEA,9.46,2928595,1903145,1025450,-13.72,-13.58,NEUTRAL
2026-03-12 09:20:17,09:20:17,YESBANK,19.2,384732,306637,78095,27.63,10.81,BUY SIGNAL
2026-03-12 09:20:47,09:20:47,IDEA,9.52,2295098,3457563,-1162465,-28.4,44.39,SELL SIGNAL
2026-03-12 09:20:47,09:20:47,YESBANK,19.21,221400,327444,-106044,-24.3,12.66,SELL SIGNAL
2026-03-12 09:21:18,09:21:18,IDEA,9.51,2389526,4507628,-2118102,-20.22,67.34,SELL SIGNAL
2026-03-12 09:21:18,09:21:18,YESBANK,19.21,338239,342760,-4521,10.0,11.39,SELL SIGNAL
2026-03-12 09:21:48,09:21:48,IDEA,9.48,3788384,3267987,520397,33.2,16.24,BUY SIGNAL
2026-03-12 09:21:48,09:21:48,YESBANK,19.22,505121,303562,201559,42.78,-2.62,BUY SIGNAL
2026-03-12 09:22:19,09:22:19,IDEA,9.49,3603639,2389944,1213695,20.9,-17.55,BUY SIGNAL
2026-03-12 09:22:19,09:22:19,YESBANK,19.21,514356,406463,107893,40.51,23.34,BUY SIGNAL
2026-03-12 09:22:49,09:22:49,IDEA,9.43,2268116,2092090,176026,-21.22,-28.75,NEUTRAL
2026-03-12 09:22:50,09:22:50,YESBANK,19.22,645334,460033,185301,48.4,28.57,BUY SIGNAL
2026-03-12 09:23:20,09:23:20,IDEA,9.41,2415589,2202339,213250,-13.52,-26.25,NEUTRAL
2026-03-12 09:23:20,09:23:20,YESBANK,19.2,384137,459512,-75375,-11.64,19.88,SELL SIGNAL
2026-03-12 09:23:51,09:23:51,IDEA,9.37,2849279,2167590,681689,-1.26,-21.78,NEUTRAL
2026-03-12 09:23:51,09:23:51,YESBANK,19.16,535116,326418,208698,9.87,-14.8,NEUTRAL
2026-03-12 09:24:21,09:24:21,IDEA,9.42,2640176,1707714,932462,-9.82,-25.9,NEUTRAL
2026-03-12 09:24:22,09:24:22,YESBANK,19.15,371640,293850,77790,-24.56,-21.63,NEUTRAL
2026-03-12 09:24:52,09:24:52,IDEA,9.45,3084595,2418212,666383,9.76,11.8,NEUTRAL
2026-03-12 09:24:52,09:24:52,YESBANK,19.15,445980,285142,160838,-7.62,-23.33,NEUTRAL
2026-03-12 09:25:23,09:25:23,IDEA,9.39,2645442,3565654,-920212,-0.19,51.16,SELL SIGNAL
2026-03-12 09:25:23,09:25:23,YESBANK,19.18,355618,461698,-106080,-22.07,21.15,SELL SIGNAL
2026-03-12 09:25:53,09:25:53,IDEA,9.43,2118723,1620351,498372,-19.31,-28.94,NEUTRAL
2026-03-12 09:25:54,09:25:54,YESBANK,19.19,304569,466544,-161975,-23.76,22.07,SELL SIGNAL
2026-03-12 09:26:24,09:26:24,IDEA,9.44,3300962,2517660,783302,19.03,7.92,BUY SIGNAL
2026-03-12 09:26:24,09:26:24,YESBANK,19.17,429761,391202,38559,5.56,5.5,NEUTRAL
2026-03-12 09:26:55,09:26:55,IDEA,9.48,2765214,3413850,-648636,0.22,34.37,SELL SIGNAL
2026-03-12 09:26:55,09:26:55,YESBANK,19.2,320170,412476,-92306,-13.77,7.09,NEUTRAL
2026-03-12 09:27:25,09:27:25,IDEA,9.45,3211862,3093743,118119,12.52,11.62,BUY SIGNAL
2026-03-12 09:27:26,09:27:26,YESBANK,19.21,390297,443925,-53628,4.25,8.23,NEUTRAL
2026-03-12 09:27:56,09:27:56,IDEA,9.42,4682561,2106063,2576498,50.04,-22.56,BUY SIGNAL
2026-03-12 09:27:56,09:27:56,YESBANK,19.21,490682,496136,-5454,28.5,11.41,SELL SIGNAL
2026-03-12 09:28:27,09:28:27,IDEA,9.43,5513642,2200399,3313243,53.21,-11.7,BUY SIGNAL
2026-03-12 09:28:27,09:28:27,YESBANK,19.22,427804,421637,6167,8.61,-3.88,NEUTRAL
2026-03-12 09:28:57,09:28:57,IDEA,9.46,4925173,2609205,2315968,21.11,-1.79,BUY SIGNAL
2026-03-12 09:28:58,09:28:58,YESBANK,19.22,358079,604281,-246202,-11.1,30.91,SELL SIGNAL
